City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
507,Makurdi,NG,77.54,broken clouds,7.7411,8.5121,Doo Palace Hotel
510,Touros,BR,81.43,few clouds,-5.1989,-35.4608,INN NEW HORIZON
511,Katghora,IN,80.71,broken clouds,22.5,82.55,Mr.K.D. Mahant
514,Monrovia,LR,75.81,moderate rain,6.3005,-10.7969,Sunset Inn
516,Victoria,HK,87.19,few clouds,22.2855,114.1577,Mini Central
518,Lengshuitan,CN,78.82,few clouds,26.4111,111.5956,Jialong Hotel
519,Tulum,MX,88.99,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
520,Tigzirt,DZ,77.76,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
522,Suleja,NG,81.59,light rain,9.1758,7.1808,Capy Motel
523,Basco,PH,84.2,broken clouds,20.4487,121.9702,Nathaniel's Lodge
525,Eyl,SO,80.55,broken clouds,7.9803,49.8164,Amiin Hotel
526,Vega De Alatorre,MX,86.4,scattered clouds,20.0333,-96.6333,Hotel D Luxe
529,Nizwa,OM,83.44,light rain,22.9333,57.5333,Orient Apartments
530,Springdale,US,89.98,broken clouds,36.1867,-94.1288,Springdale Inn
534,Rosarito,MX,88.63,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
538,Caravelas,BR,77.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
542,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
546,Banda Aceh,ID,81.23,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
554,Lajas,PR,88.41,overcast clouds,18.05,-67.0593,Hostal Universitario interamericana Río Piedras
556,Manadhoo,MV,82.08,scattered clouds,5.7667,73.3833,Bon Abri maldives
563,Nishihara,JP,83.86,few clouds,26.1842,127.7558,Minshuku Agaihama
565,Kieta,PG,77.36,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
567,Padang,ID,77.18,broken clouds,-0.9492,100.3543,Mercure Padang
569,Zlitan,LY,79.93,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
572,Rawlins,US,89.49,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
573,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
577,Freeport,US,88.29,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
579,Gigmoto,PH,80.17,overcast clouds,13.7796,124.39,Cj's Travellers Inn
585,Wanxian,CN,82.9,clear sky,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
590,Machico,PT,83.12,clear sky,32.7,-16.7667,Dom Pedro Madeira Hotel
591,Nanzhang,CN,80.73,scattered clouds,31.7765,111.8386,Longmenkezhan
595,Kirakira,SB,77.9,few clouds,-10.4544,161.9205,SanBiz Lodge
597,Kuryk,KZ,84.51,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
600,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
603,Dayong,CN,77.59,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
607,Itanhem,BR,78.33,broken clouds,-17.1664,-40.33,Hotel Resende
612,Itoman,JP,84.58,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
613,Nabire,ID,75.78,light rain,-3.3667,135.4833,Hotel Nusantara I
616,Kailua,US,80.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
619,Beyneu,KZ,86.23,scattered clouds,45.3167,55.2,NUR
622,Le Vauclin,MQ,87.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
631,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
636,Surt,LY,80.85,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
638,Lata,PT,89.49,clear sky,40.1629,-8.3327,Casa Maquia
640,Guerrero Negro,MX,76.37,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
644,Peniche,PT,88.09,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
651,Napoleon,US,81.01,clear sky,41.3923,-84.1252,Holiday Inn & Suites
652,Nauta,PE,81.18,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
653,Hong Gai,VN,80.51,clear sky,20.956,107.0946,Hạ Long DC Hotel
656,Nautla,MX,88.77,scattered clouds,20.2167,-96.7833,Casa Blanca
657,Ormara,PK,83.05,moderate rain,25.2088,64.6357,Kenara Colony House for Rent
