City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
146,Richards Bay,ZA,-28.783,32.0377,68.65,70,0,14.29,clear sky
147,Waingapu,ID,-9.6567,120.2641,74.97,85,68,11.43,broken clouds
148,Laguna,US,38.421,-121.4238,85.01,54,0,9.22,clear sky
149,Rafaela,AR,-31.2503,-61.4867,84.0,40,1,5.99,clear sky
150,San Quintin,MX,30.4833,-115.95,74.34,65,25,15.03,scattered clouds
151,Chuy,UY,-33.6971,-53.4616,61.34,91,92,11.88,overcast clouds
152,Kaitangata,NZ,-46.2817,169.8464,33.71,87,59,4.52,broken clouds
153,Saint-Augustin,CA,51.226,-58.6502,61.5,68,56,20.49,broken clouds
154,Airai,TL,-8.9266,125.4092,56.05,93,87,3.53,overcast clouds
155,Norman Wells,CA,65.282,-126.8329,71.64,56,75,4.61,smoke
156,Elizabeth City,US,36.2946,-76.2511,87.82,77,75,8.05,broken clouds
157,Piacabucu,BR,-10.4056,-36.4344,76.1,85,66,16.33,broken clouds
158,Bandarbeyla,SO,9.4942,50.8122,78.89,67,70,30.4,broken clouds
159,Provideniya,RU,64.3833,-173.3,48.22,93,100,5.86,overcast clouds
160,Fortuna,US,40.5982,-124.1573,69.93,71,40,1.99,scattered clouds
161,Havoysund,NO,70.9963,24.6622,55.63,82,66,7.23,broken clouds
162,Dunyapur,PK,29.7995,71.7196,93.43,52,91,6.17,moderate rain
163,Perth,AU,-31.9333,115.8333,61.66,68,0,18.41,clear sky
164,Sobolevo,RU,54.4299,31.8996,64.09,78,78,1.5,broken clouds
165,Iqaluit,CA,63.7506,-68.5145,38.7,86,88,5.99,overcast clouds
166,Ponta Do Sol,PT,32.6667,-17.1,82.13,53,4,2.86,clear sky
167,Kavieng,PG,-2.5744,150.7967,81.23,71,39,15.55,scattered clouds
168,Hithadhoo,MV,-0.6,73.0833,82.45,76,13,5.59,few clouds
169,Souillac,MU,-20.5167,57.5167,68.38,68,40,14.97,scattered clouds
170,Turukhansk,RU,65.8167,87.9833,59.61,90,39,8.05,scattered clouds
171,Jamestown,US,42.097,-79.2353,79.52,44,0,11.5,clear sky
172,Bellevue,US,47.6104,-122.2007,71.51,67,75,8.05,broken clouds
173,Katsuura,JP,35.1333,140.3,77.02,91,100,16.42,overcast clouds
174,Saint-Joseph,RE,-21.3667,55.6167,66.58,75,34,18.39,scattered clouds
175,Sibolga,ID,1.7427,98.7792,76.6,84,70,3.22,broken clouds
176,Leningradskiy,RU,69.3833,178.4167,46.83,89,100,9.19,light rain
177,Pesaro,IT,43.9036,12.8903,77.95,48,2,1.01,clear sky
178,Olinda,BR,-8.0089,-34.8553,78.53,78,75,14.97,broken clouds
179,Spas-Klepiki,RU,55.1347,40.1767,62.92,93,96,4.0,light rain
180,Rio Grande,BR,-32.035,-52.0986,62.71,92,100,14.09,overcast clouds
181,Xuddur,SO,4.1213,43.8894,75.11,59,94,22.08,overcast clouds
182,Vidim,RU,56.4088,103.1106,51.21,95,38,3.31,scattered clouds
183,San Luis Rio Colorado,MX,32.4631,-114.7767,101.14,18,58,2.73,broken clouds
184,Manga,BF,11.6636,-1.0731,84.15,61,100,11.16,light rain
185,Lakatoro,VU,-16.0999,167.4164,77.85,78,19,10.58,few clouds
186,Zavyalovo,RU,54.5053,82.4484,59.99,87,74,8.08,broken clouds
187,Sinegorye,RU,62.0788,150.477,53.56,87,2,4.76,clear sky
188,Santa Rosa,PH,14.3122,121.1114,82.11,89,29,4.99,scattered clouds
189,Tukrah,LY,32.5341,20.5791,79.48,66,4,16.91,clear sky
190,Vardo,NO,70.3705,31.1107,49.98,87,20,8.05,few clouds
191,Kahului,US,20.8947,-156.47,80.62,79,40,18.01,scattered clouds
192,Antalaha,MG,-14.9003,50.2788,68.65,87,29,12.93,light rain
193,Tiksi,RU,71.6872,128.8694,49.82,60,33,10.13,scattered clouds
194,Rock Springs,US,41.5875,-109.2029,91.24,18,0,16.11,clear sky
195,Pudozh,RU,61.8099,36.5345,62.56,78,74,5.48,broken clouds
196,Homer,US,59.6425,-151.5483,58.89,73,100,4.61,overcast clouds
197,Neuquen,AR,-38.9516,-68.0591,55.76,27,38,2.3,scattered clouds
198,Yushu,CN,44.8,126.5333,62.76,72,0,6.44,clear sky
199,Pangody,RU,65.85,74.4859,55.08,80,10,5.37,clear sky
200,New Norfolk,AU,-42.7826,147.0587,45.9,84,70,2.33,broken clouds
201,Khash,IR,28.2211,61.2158,88.83,9,34,12.03,scattered clouds
202,Trelew,AR,-43.249,-65.3051,60.49,24,77,11.21,broken clouds
203,Kaeo,NZ,-35.1,173.7833,58.32,96,34,5.95,scattered clouds
204,Fort Saint James,CA,54.4333,-124.25,65.23,40,5,10.09,clear sky
205,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,6.91,fog
206,Luderitz,NA,-26.6481,15.1594,56.52,90,26,11.16,scattered clouds
207,Kendari,ID,-3.945,122.4989,73.72,94,61,2.48,broken clouds
208,Tuatapere,NZ,-46.1333,167.6833,34.27,85,30,3.06,scattered clouds
209,Bahia Blanca,AR,-38.7196,-62.2724,59.27,48,0,1.83,clear sky
210,Kitgum,UG,3.2783,32.8867,67.46,80,80,2.44,broken clouds
211,Sinnamary,GF,5.3833,-52.95,74.97,90,93,10.58,overcast clouds
